cell_id,nhit_bin,predE_bin,mc_count,candidate_version,strategy,central99_flag,fit_predE_range_flag,tail_bin_flag,selection_version,selection_reason,raw_ledger_version,cell_role,role_reason,source_pool,source_nhit_bin,source_predE_bins
13,"[125,200)",>=6,157,v5_predbin_split56,split56,0,0,1,v5_predbin_split56,"diagnostic tail bin outside [2,6); not used in main fit",v5_predbin_split56,diagnostic_tail,"diagnostic tail bin outside [2,6); not used in main fit",filtered_existing_cache,"[100,200)",>=5
14,"[200,300)","[2,2.5)",17965,v5_predbin_split56,split56,1,1,0,v5_predbin_split56,central-99 count-qualified probe outside MC occupancy ridge,v5_predbin_split56,systematics_probe,central-99 count-qualified probe outside MC occupancy ridge,filtered_existing_cache,"[200,300)","[2,3)"
15,"[200,300)","[2.5,3)",255726,v5_predbin_split56,split56,1,1,0,v5_predbin_split56,"central99 MC-occupancy-ridge prefit cell inside [2,6)",v5_predbin_split56,baseline_fit,"central99 MC-occupancy-ridge prefit cell inside [2,6)",filtered_existing_cache,"[200,300)","[2,3)"
16,"[200,300)","[3,3.25)",122642,v5_predbin_split56,split56,1,1,0,v5_predbin_split56,"central99 MC-occupancy-ridge prefit cell inside [2,6)",v5_predbin_split56,baseline_fit,"central99 MC-occupancy-ridge prefit cell inside [2,6)",existing_cache_symlink,"[200,300)","[3,3.25)"
17,"[200,300)","[3.25,3.5)",55093,v5_predbin_split56,split56,1,1,0,v5_predbin_split56,"central99 MC-occupancy-ridge prefit cell inside [2,6)",v5_predbin_split56,baseline_fit,"central99 MC-occupancy-ridge prefit cell inside [2,6)",existing_cache_symlink,"[200,300)","[3.25,3.5)"
18,"[200,300)","[3.5,3.75)",26172,v5_predbin_split56,split56,1,1,0,v5_predbin_split56,"central99 MC-occupancy-ridge prefit cell inside [2,6)",v5_predbin_split56,baseline_fit,"central99 MC-occupancy-ridge prefit cell inside [2,6)",existing_cache_symlink,"[200,300)","[3.5,3.75)"
19,"[200,300)","[3.75,4.0)",16631,v5_predbin_split56,split56,1,1,0,v5_predbin_split56,central-99 count-qualified probe outside MC occupancy ridge,v5_predbin_split56,systematics_probe,central-99 count-qualified probe outside MC occupancy ridge,existing_cache_symlink,"[200,300)","[3.75,4.0)"
20,"[200,300)","[4.0,4.25)",13247,v5_predbin_split56,split56,1,1,0,v5_predbin_split56,central-99 count-qualified probe outside MC occupancy ridge,v5_predbin_split56,systematics_probe,central-99 count-qualified probe outside MC occupancy ridge,existing_cache_symlink,"[200,300)","[4.0,4.25)"
21,"[200,300)","[4.25,4.5)",10121,v5_predbin_split56,split56,1,1,0,v5_predbin_split56,central-99 count-qualified probe outside MC occupancy ridge,v5_predbin_split56,systematics_probe,central-99 count-qualified probe outside MC occupancy ridge,existing_cache_symlink,"[200,300)","[4.25,4.5)"
22,"[200,300)","[4.5,4.75)",7811,v5_predbin_split56,split56,1,1,0,v5_predbin_split56,central-99 count-qualified probe outside MC occupancy ridge,v5_predbin_split56,systematics_probe,central-99 count-qualified probe outside MC occupancy ridge,existing_cache_symlink,"[200,300)","[4.5,4.75)"
23,"[200,300)","[4.75,5.0)",6480,v5_predbin_split56,split56,1,1,0,v5_predbin_split56,central-99 count-qualified probe outside MC occupancy ridge,v5_predbin_split56,systematics_probe,central-99 count-qualified probe outside MC occupancy ridge,existing_cache_symlink,"[200,300)","[4.75,5.0)"
24,"[200,300)","[5,5.5)",13668,v5_predbin_split56,split56,1,1,0,v5_predbin_split56,"[5,6) split retained as high-energy diagnostic/probe outside highest Nhit ridge",v5_predbin_split56,high_energy_probe,"[5,6) split retained as high-energy diagnostic/probe outside highest Nhit ridge",filtered_existing_cache,"[200,300)",>=5
25,"[200,300)","[5.5,6)",10586,v5_predbin_split56,split56,1,1,0,v5_predbin_split56,"[5,6) split retained as high-energy diagnostic/probe outside highest Nhit ridge",v5_predbin_split56,high_energy_probe,"[5,6) split retained as high-energy diagnostic/probe outside highest Nhit ridge",filtered_existing_cache,"[200,300)",>=5
26,"[200,300)",>=6,203,v5_predbin_split56,split56,0,0,1,v5_predbin_split56,"diagnostic tail bin outside [2,6); not used in main fit",v5_predbin_split56,diagnostic_tail,"diagnostic tail bin outside [2,6); not used in main fit",filtered_existing_cache,"[200,300)",>=5
27,"[300,500)","[2,2.5)",227,v5_predbin_split56,split56,0,1,0,v5_predbin_split56,outside MC central-99 reconstructed-energy population,v5_predbin_split56,diagnostic_response_tail,outside MC central-99 reconstructed-energy population,filtered_existing_cache,"[300,500)","[2,3)"
28,"[300,500)","[2.5,3)",80182,v5_predbin_split56,split56,1,1,0,v5_predbin_split56,"central99 MC-occupancy-ridge prefit cell inside [2,6)",v5_predbin_split56,baseline_fit,"central99 MC-occupancy-ridge prefit cell inside [2,6)",filtered_existing_cache,"[300,500)","[2,3)"
29,"[300,500)","[3,3.25)",151506,v5_predbin_split56,split56,1,1,0,v5_predbin_split56,"central99 MC-occupancy-ridge prefit cell inside [2,6)",v5_predbin_split56,baseline_fit,"central99 MC-occupancy-ridge prefit cell inside [2,6)",existing_cache_symlink,"[300,500)","[3,3.25)"
30,"[300,500)","[3.25,3.5)",112141,v5_predbin_split56,split56,1,1,0,v5_predbin_split56,"central99 MC-occupancy-ridge prefit cell inside [2,6)",v5_predbin_split56,baseline_fit,"central99 MC-occupancy-ridge prefit cell inside [2,6)",existing_cache_symlink,"[300,500)","[3.25,3.5)"
31,"[300,500)","[3.5,3.75)",46983,v5_predbin_split56,split56,1,1,0,v5_predbin_split56,"central99 MC-occupancy-ridge prefit cell inside [2,6)",v5_predbin_split56,baseline_fit,"central99 MC-occupancy-ridge prefit cell inside [2,6)",existing_cache_symlink,"[300,500)","[3.5,3.75)"
32,"[300,500)","[3.75,4.0)",20906,v5_predbin_split56,split56,1,1,0,v5_predbin_split56,"central99 MC-occupancy-ridge prefit cell inside [2,6)",v5_predbin_split56,baseline_fit,"central99 MC-occupancy-ridge prefit cell inside [2,6)",existing_cache_symlink,"[300,500)","[3.75,4.0)"
33,"[300,500)","[4.0,4.25)",13417,v5_predbin_split56,split56,1,1,0,v5_predbin_split56,central-99 count-qualified probe outside MC occupancy ridge,v5_predbin_split56,systematics_probe,central-99 count-qualified probe outside MC occupancy ridge,existing_cache_symlink,"[300,500)","[4.0,4.25)"
34,"[300,500)","[4.25,4.5)",11186,v5_predbin_split56,split56,1,1,0,v5_predbin_split56,central-99 count-qualified probe outside MC occupancy ridge,v5_predbin_split56,systematics_probe,central-99 count-qualified probe outside MC occupancy ridge,existing_cache_symlink,"[300,500)","[4.25,4.5)"
35,"[300,500)","[4.5,4.75)",10057,v5_predbin_split56,split56,1,1,0,v5_predbin_split56,central-99 count-qualified probe outside MC occupancy ridge,v5_predbin_split56,systematics_probe,central-99 count-qualified probe outside MC occupancy ridge,existing_cache_symlink,"[300,500)","[4.5,4.75)"
36,"[300,500)","[4.75,5.0)",8426,v5_predbin_split56,split56,1,1,0,v5_predbin_split56,central-99 count-qualified probe outside MC occupancy ridge,v5_predbin_split56,systematics_probe,central-99 count-qualified probe outside MC occupancy ridge,existing_cache_symlink,"[300,500)","[4.75,5.0)"
37,"[300,500)","[5,5.5)",17631,v5_predbin_split56,split56,1,1,0,v5_predbin_split56,"[5,6) split retained as high-energy diagnostic/probe outside highest Nhit ridge",v5_predbin_split56,high_energy_probe,"[5,6) split retained as high-energy diagnostic/probe outside highest Nhit ridge",filtered_existing_cache,"[300,500)",>=5
38,"[300,500)","[5.5,6)",17145,v5_predbin_split56,split56,1,1,0,v5_predbin_split56,"[5,6) split retained as high-energy diagnostic/probe outside highest Nhit ridge",v5_predbin_split56,high_energy_probe,"[5,6) split retained as high-energy diagnostic/probe outside highest Nhit ridge",filtered_existing_cache,"[300,500)",>=5
39,"[300,500)",>=6,433,v5_predbin_split56,split56,0,0,1,v5_predbin_split56,"diagnostic tail bin outside [2,6); not used in main fit",v5_predbin_split56,diagnostic_tail,"diagnostic tail bin outside [2,6); not used in main fit",filtered_existing_cache,"[300,500)",>=5
40,"[500,800)","[2,2.5)",0,v5_predbin_split56,split56,0,1,0,v5_predbin_split56,outside MC central-99 reconstructed-energy population,v5_predbin_split56,diagnostic_response_tail,outside MC central-99 reconstructed-energy population,filtered_existing_cache,"[500,800)","[2,3)"
41,"[500,800)","[2.5,3)",913,v5_predbin_split56,split56,0,1,0,v5_predbin_split56,outside MC central-99 reconstructed-energy population,v5_predbin_split56,diagnostic_response_tail,outside MC central-99 reconstructed-energy population,filtered_existing_cache,"[500,800)","[2,3)"
42,"[500,800)","[3,3.25)",27769,v5_predbin_split56,split56,1,1,0,v5_predbin_split56,"central99 MC-occupancy-ridge prefit cell inside [2,6)",v5_predbin_split56,baseline_fit,"central99 MC-occupancy-ridge prefit cell inside [2,6)",existing_cache_symlink,"[500,800)","[3,3.25)"
43,"[500,800)","[3.25,3.5)",89513,v5_predbin_split56,split56,1,1,0,v5_predbin_split56,"central99 MC-occupancy-ridge prefit cell inside [2,6)",v5_predbin_split56,baseline_fit,"central99 MC-occupancy-ridge prefit cell inside [2,6)",existing_cache_symlink,"[500,800)","[3.25,3.5)"
44,"[500,800)","[3.5,3.75)",68604,v5_predbin_split56,split56,1,1,0,v5_predbin_split56,"central99 MC-occupancy-ridge prefit cell inside [2,6)",v5_predbin_split56,baseline_fit,"central99 MC-occupancy-ridge prefit cell inside [2,6)",existing_cache_symlink,"[500,800)","[3.5,3.75)"
45,"[500,800)","[3.75,4.0)",26703,v5_predbin_split56,split56,1,1,0,v5_predbin_split56,"central99 MC-occupancy-ridge prefit cell inside [2,6)",v5_predbin_split56,baseline_fit,"central99 MC-occupancy-ridge prefit cell inside [2,6)",existing_cache_symlink,"[500,800)","[3.75,4.0)"
46,"[500,800)","[4.0,4.25)",10601,v5_predbin_split56,split56,1,1,0,v5_predbin_split56,"central99 MC-occupancy-ridge prefit cell inside [2,6)",v5_predbin_split56,baseline_fit,"central99 MC-occupancy-ridge prefit cell inside [2,6)",existing_cache_symlink,"[500,800)","[4.0,4.25)"
47,"[500,800)","[4.25,4.5)",5257,v5_predbin_split56,split56,1,1,0,v5_predbin_split56,central-99 count-qualified probe outside MC occupancy ridge,v5_predbin_split56,systematics_probe,central-99 count-qualified probe outside MC occupancy ridge,existing_cache_symlink,"[500,800)","[4.25,4.5)"
48,"[500,800)","[4.5,4.75)",5154,v5_predbin_split56,split56,1,1,0,v5_predbin_split56,central-99 count-qualified probe outside MC occupancy ridge,v5_predbin_split56,systematics_probe,central-99 count-qualified probe outside MC occupancy ridge,existing_cache_symlink,"[500,800)","[4.5,4.75)"
49,"[500,800)","[4.75,5.0)",5397,v5_predbin_split56,split56,1,1,0,v5_predbin_split56,central-99 count-qualified probe outside MC occupancy ridge,v5_predbin_split56,systematics_probe,central-99 count-qualified probe outside MC occupancy ridge,existing_cache_symlink,"[500,800)","[4.75,5.0)"
50,"[500,800)","[5,5.5)",13235,v5_predbin_split56,split56,1,1,0,v5_predbin_split56,"[5,6) split retained as high-energy diagnostic/probe outside highest Nhit ridge",v5_predbin_split56,high_energy_probe,"[5,6) split retained as high-energy diagnostic/probe outside highest Nhit ridge",filtered_existing_cache,"[500,800)",>=5
51,"[500,800)","[5.5,6)",14477,v5_predbin_split56,split56,1,1,0,v5_predbin_split56,"[5,6) split retained as high-energy diagnostic/probe outside highest Nhit ridge",v5_predbin_split56,high_energy_probe,"[5,6) split retained as high-energy diagnostic/probe outside highest Nhit ridge",filtered_existing_cache,"[500,800)",>=5
52,"[500,800)",>=6,426,v5_predbin_split56,split56,0,0,1,v5_predbin_split56,"diagnostic tail bin outside [2,6); not used in main fit",v5_predbin_split56,diagnostic_tail,"diagnostic tail bin outside [2,6); not used in main fit",filtered_existing_cache,"[500,800)",>=5
53,"[800,1100)","[2,2.5)",0,v5_predbin_split56,split56,0,1,0,v5_predbin_split56,outside MC central-99 reconstructed-energy population,v5_predbin_split56,diagnostic_response_tail,outside MC central-99 reconstructed-energy population,filtered_existing_cache,"[800,1100)","[2,3)"
54,"[800,1100)","[2.5,3)",5,v5_predbin_split56,split56,0,1,0,v5_predbin_split56,outside MC central-99 reconstructed-energy population,v5_predbin_split56,diagnostic_response_tail,outside MC central-99 reconstructed-energy population,filtered_existing_cache,"[800,1100)","[2,3)"
55,"[800,1100)","[3,3.25)",1093,v5_predbin_split56,split56,1,1,0,v5_predbin_split56,central-99 count-qualified probe outside MC occupancy ridge,v5_predbin_split56,systematics_probe,central-99 count-qualified probe outside MC occupancy ridge,existing_cache_symlink,"[800,1100)","[3,3.25)"
56,"[800,1100)","[3.25,3.5)",15783,v5_predbin_split56,split56,1,1,0,v5_predbin_split56,"central99 MC-occupancy-ridge prefit cell inside [2,6)",v5_predbin_split56,baseline_fit,"central99 MC-occupancy-ridge prefit cell inside [2,6)",existing_cache_symlink,"[800,1100)","[3.25,3.5)"
57,"[800,1100)","[3.5,3.75)",32787,v5_predbin_split56,split56,1,1,0,v5_predbin_split56,"central99 MC-occupancy-ridge prefit cell inside [2,6)",v5_predbin_split56,baseline_fit,"central99 MC-occupancy-ridge prefit cell inside [2,6)",existing_cache_symlink,"[800,1100)","[3.5,3.75)"
58,"[800,1100)","[3.75,4.0)",22615,v5_predbin_split56,split56,1,1,0,v5_predbin_split56,"central99 MC-occupancy-ridge prefit cell inside [2,6)",v5_predbin_split56,baseline_fit,"central99 MC-occupancy-ridge prefit cell inside [2,6)",existing_cache_symlink,"[800,1100)","[3.75,4.0)"
59,"[800,1100)","[4.0,4.25)",9020,v5_predbin_split56,split56,1,1,0,v5_predbin_split56,"central99 MC-occupancy-ridge prefit cell inside [2,6)",v5_predbin_split56,baseline_fit,"central99 MC-occupancy-ridge prefit cell inside [2,6)",existing_cache_symlink,"[800,1100)","[4.0,4.25)"
60,"[800,1100)","[4.25,4.5)",2841,v5_predbin_split56,split56,1,1,0,v5_predbin_split56,central-99 count-qualified probe outside MC occupancy ridge,v5_predbin_split56,systematics_probe,central-99 count-qualified probe outside MC occupancy ridge,existing_cache_symlink,"[800,1100)","[4.25,4.5)"
61,"[800,1100)","[4.5,4.75)",1287,v5_predbin_split56,split56,1,1,0,v5_predbin_split56,central-99 count-qualified probe outside MC occupancy ridge,v5_predbin_split56,systematics_probe,central-99 count-qualified probe outside MC occupancy ridge,existing_cache_symlink,"[800,1100)","[4.5,4.75)"
62,"[800,1100)","[4.75,5.0)",1482,v5_predbin_split56,split56,1,1,0,v5_predbin_split56,central-99 count-qualified probe outside MC occupancy ridge,v5_predbin_split56,systematics_probe,central-99 count-qualified probe outside MC occupancy ridge,existing_cache_symlink,"[800,1100)","[4.75,5.0)"
63,"[800,1100)","[5,5.5)",4644,v5_predbin_split56,split56,1,1,0,v5_predbin_split56,"[5,6) split retained as high-energy diagnostic/probe outside highest Nhit ridge",v5_predbin_split56,high_energy_probe,"[5,6) split retained as high-energy diagnostic/probe outside highest Nhit ridge",filtered_existing_cache,"[800,1100)",>=5
64,"[800,1100)","[5.5,6)",3591,v5_predbin_split56,split56,1,1,0,v5_predbin_split56,"[5,6) split retained as high-energy diagnostic/probe outside highest Nhit ridge",v5_predbin_split56,high_energy_probe,"[5,6) split retained as high-energy diagnostic/probe outside highest Nhit ridge",filtered_existing_cache,"[800,1100)",>=5
65,"[800,1100)",>=6,71,v5_predbin_split56,split56,0,0,1,v5_predbin_split56,"diagnostic tail bin outside [2,6); not used in main fit",v5_predbin_split56,diagnostic_tail,"diagnostic tail bin outside [2,6); not used in main fit",filtered_existing_cache,"[800,1100)",>=5
66,"[1100,2000)","[2,2.5)",0,v5_predbin_split56,split56,0,1,0,v5_predbin_split56,outside MC central-99 reconstructed-energy population,v5_predbin_split56,diagnostic_response_tail,outside MC central-99 reconstructed-energy population,filtered_existing_cache,"[1100,2000)","[2,3)"
67,"[1100,2000)","[2.5,3)",0,v5_predbin_split56,split56,0,1,0,v5_predbin_split56,outside MC central-99 reconstructed-energy population,v5_predbin_split56,diagnostic_response_tail,outside MC central-99 reconstructed-energy population,filtered_existing_cache,"[1100,2000)","[2,3)"
68,"[1100,2000)","[3,3.25)",16,v5_predbin_split56,split56,0,1,0,v5_predbin_split56,outside MC central-99 reconstructed-energy population,v5_predbin_split56,diagnostic_response_tail,outside MC central-99 reconstructed-energy population,existing_cache_symlink,"[1100,2000)","[3,3.25)"
69,"[1100,2000)","[3.25,3.5)",1565,v5_predbin_split56,split56,1,1,0,v5_predbin_split56,central-99 count-qualified probe outside MC occupancy ridge,v5_predbin_split56,systematics_probe,central-99 count-qualified probe outside MC occupancy ridge,existing_cache_symlink,"[1100,2000)","[3.25,3.5)"
70,"[1100,2000)","[3.5,3.75)",10960,v5_predbin_split56,split56,1,1,0,v5_predbin_split56,"central99 MC-occupancy-ridge prefit cell inside [2,6)",v5_predbin_split56,baseline_fit,"central99 MC-occupancy-ridge prefit cell inside [2,6)",existing_cache_symlink,"[1100,2000)","[3.5,3.75)"
71,"[1100,2000)","[3.75,4.0)",23726,v5_predbin_split56,split56,1,1,0,v5_predbin_split56,"central99 MC-occupancy-ridge prefit cell inside [2,6)",v5_predbin_split56,baseline_fit,"central99 MC-occupancy-ridge prefit cell inside [2,6)",existing_cache_symlink,"[1100,2000)","[3.75,4.0)"
72,"[1100,2000)","[4.0,4.25)",23998,v5_predbin_split56,split56,1,1,0,v5_predbin_split56,"central99 MC-occupancy-ridge prefit cell inside [2,6)",v5_predbin_split56,baseline_fit,"central99 MC-occupancy-ridge prefit cell inside [2,6)",existing_cache_symlink,"[1100,2000)","[4.0,4.25)"
73,"[1100,2000)","[4.25,4.5)",13380,v5_predbin_split56,split56,1,1,0,v5_predbin_split56,"central99 MC-occupancy-ridge prefit cell inside [2,6)",v5_predbin_split56,baseline_fit,"central99 MC-occupancy-ridge prefit cell inside [2,6)",existing_cache_symlink,"[1100,2000)","[4.25,4.5)"
74,"[1100,2000)","[4.5,4.75)",5650,v5_predbin_split56,split56,1,1,0,v5_predbin_split56,"central99 MC-occupancy-ridge prefit cell inside [2,6)",v5_predbin_split56,baseline_fit,"central99 MC-occupancy-ridge prefit cell inside [2,6)",existing_cache_symlink,"[1100,2000)","[4.5,4.75)"
75,"[1100,2000)","[4.75,5.0)",1641,v5_predbin_split56,split56,1,1,0,v5_predbin_split56,central-99 count-qualified probe outside MC occupancy ridge,v5_predbin_split56,systematics_probe,central-99 count-qualified probe outside MC occupancy ridge,existing_cache_symlink,"[1100,2000)","[4.75,5.0)"
76,"[1100,2000)","[5,5.5)",687,v5_predbin_split56,split56,1,1,0,v5_predbin_split56,"[5,6) split retained as high-energy diagnostic/probe outside highest Nhit ridge",v5_predbin_split56,high_energy_probe,"[5,6) split retained as high-energy diagnostic/probe outside highest Nhit ridge",filtered_existing_cache,"[1100,2000)",>=5
77,"[1100,2000)","[5.5,6)",223,v5_predbin_split56,split56,0,1,0,v5_predbin_split56,"[5,6) split retained as high-energy diagnostic/probe outside highest Nhit ridge",v5_predbin_split56,high_energy_probe,"[5,6) split retained as high-energy diagnostic/probe outside highest Nhit ridge",filtered_existing_cache,"[1100,2000)",>=5
78,"[1100,2000)",>=6,4,v5_predbin_split56,split56,0,0,1,v5_predbin_split56,"diagnostic tail bin outside [2,6); not used in main fit",v5_predbin_split56,diagnostic_tail,"diagnostic tail bin outside [2,6); not used in main fit",filtered_existing_cache,"[1100,2000)",>=5
79,"[2000,3000)","[2,2.5)",0,v5_predbin_split56,split56,0,1,0,v5_predbin_split56,outside MC central-99 reconstructed-energy population,v5_predbin_split56,diagnostic_response_tail,outside MC central-99 reconstructed-energy population,filtered_existing_cache,>=2000,"[2,3)"
80,"[2000,3000)","[2.5,3)",0,v5_predbin_split56,split56,0,1,0,v5_predbin_split56,outside MC central-99 reconstructed-energy population,v5_predbin_split56,diagnostic_response_tail,outside MC central-99 reconstructed-energy population,filtered_existing_cache,>=2000,"[2,3)"
81,"[2000,3000)","[3,3.25)",0,v5_predbin_split56,split56,0,1,0,v5_predbin_split56,outside MC central-99 reconstructed-energy population,v5_predbin_split56,diagnostic_response_tail,outside MC central-99 reconstructed-energy population,filtered_existing_cache,>=2000,"[3,3.25)"
82,"[2000,3000)","[3.25,3.5)",0,v5_predbin_split56,split56,0,1,0,v5_predbin_split56,outside MC central-99 reconstructed-energy population,v5_predbin_split56,diagnostic_response_tail,outside MC central-99 reconstructed-energy population,filtered_existing_cache,>=2000,"[3.25,3.5)"
83,"[2000,3000)","[3.5,3.75)",4,v5_predbin_split56,split56,0,1,0,v5_predbin_split56,outside MC central-99 reconstructed-energy population,v5_predbin_split56,diagnostic_response_tail,outside MC central-99 reconstructed-energy population,filtered_existing_cache,>=2000,"[3.5,3.75)"
84,"[2000,3000)","[3.75,4.0)",156,v5_predbin_split56,split56,1,1,0,v5_predbin_split56,below prefit MC-count threshold,v5_predbin_split56,diagnostic_low_stat,below prefit MC-count threshold,filtered_existing_cache,>=2000,"[3.75,4.0)"
85,"[2000,3000)","[4.0,4.25)",1175,v5_predbin_split56,split56,1,1,0,v5_predbin_split56,"central99 MC-occupancy-ridge prefit cell inside [2,6)",v5_predbin_split56,baseline_fit,"central99 MC-occupancy-ridge prefit cell inside [2,6)",filtered_existing_cache,>=2000,"[4.0,4.25)"
86,"[2000,3000)","[4.25,4.5)",3127,v5_predbin_split56,split56,1,1,0,v5_predbin_split56,"central99 MC-occupancy-ridge prefit cell inside [2,6)",v5_predbin_split56,baseline_fit,"central99 MC-occupancy-ridge prefit cell inside [2,6)",filtered_existing_cache,>=2000,"[4.25,4.5)"
87,"[2000,3000)","[4.5,4.75)",5515,v5_predbin_split56,split56,1,1,0,v5_predbin_split56,"central99 MC-occupancy-ridge prefit cell inside [2,6)",v5_predbin_split56,baseline_fit,"central99 MC-occupancy-ridge prefit cell inside [2,6)",filtered_existing_cache,>=2000,"[4.5,4.75)"
88,"[2000,3000)","[4.75,5.0)",5332,v5_predbin_split56,split56,1,1,0,v5_predbin_split56,"central99 MC-occupancy-ridge prefit cell inside [2,6)",v5_predbin_split56,baseline_fit,"central99 MC-occupancy-ridge prefit cell inside [2,6)",filtered_existing_cache,>=2000,"[4.75,5.0)"
89,"[2000,3000)","[5,5.5)",6434,v5_predbin_split56,split56,1,1,0,v5_predbin_split56,"central99 MC-occupancy-ridge prefit cell inside [2,6)",v5_predbin_split56,baseline_fit,"central99 MC-occupancy-ridge prefit cell inside [2,6)",filtered_existing_cache,>=2000,>=5
90,"[2000,3000)","[5.5,6)",799,v5_predbin_split56,split56,1,1,0,v5_predbin_split56,"central99 MC-occupancy-ridge prefit cell inside [2,6)",v5_predbin_split56,baseline_fit,"central99 MC-occupancy-ridge prefit cell inside [2,6)",filtered_existing_cache,>=2000,>=5
91,"[2000,3000)",>=6,0,v5_predbin_split56,split56,0,0,1,v5_predbin_split56,"diagnostic tail bin outside [2,6); not used in main fit",v5_predbin_split56,diagnostic_tail,"diagnostic tail bin outside [2,6); not used in main fit",filtered_existing_cache,>=2000,>=5
