cell_id,include,subset_version,subset_reason,nhit_bin,predE_bin,mc_count,central99_flag,physical_ridge_flag,ridge_peak_fraction,fit_predE_range_flag,tail_bin_flag,psf_quality_flag,cell_role,exclusion_source,original_ridge_fit_flag,highEplus1_candidate_flag,highEplus1_included_flag,highEplus1_rejected_flag,psf_quality_reasons,selection_override_flag
11,0,v6_64748_nhit100_reselect44_split56_miss030_fit,not on original MC ridge and not the one-bin high-predE extension,"[100,200)","[5,5.5)",13418,1,0,0.023520750251982997,1,0,0,excluded,MC_ridge_highEplus1_selector,0,0,0,0,containment_warning,
12,0,v6_64748_nhit100_reselect44_split56_miss030_fit,not on original MC ridge and not the one-bin high-predE extension,"[100,200)","[5.5,6)",11489,1,0,0.020139357552916428,1,0,0,excluded,MC_ridge_highEplus1_selector,0,0,0,0,containment_warning,
13,0,v6_64748_nhit100_reselect44_split56_miss030_fit,>=6 diagnostic tail retained in Stage A-E products but excluded from Stage F/G main fit,"[100,200)",>=6,173,0,0,0.0,0,1,0,diagnostic_tail,fit_predE_range,0,0,0,0,valid_events_le_0;effective_events_lt_200;core_fit_effective_events_lt_200;theta_missing_mass_gt_0.3;containment_warning;angle_check_warning,
14,0,v6_64748_nhit100_reselect44_split56_miss030_fit,not on original MC ridge and not the one-bin high-predE extension,"[200,300)","[2,2.5)",14538,1,0,0.06310416223560103,1,0,0,excluded,MC_ridge_highEplus1_selector,0,0,0,0,containment_warning,
15,1,v6_64748_nhit100_reselect44_split56_miss030_fit,original MC-ridge fit cell preserved,"[200,300)","[2.5,3)",230381,1,1,1.0,1,0,1,mc_ridge_fit,,1,0,0,0,pass,
16,1,v6_64748_nhit100_reselect44_split56_miss030_fit,original MC-ridge fit cell preserved,"[200,300)","[3,3.25)",138621,1,1,0.6017032654602593,1,0,1,mc_ridge_fit,,1,0,0,0,pass,
17,1,v6_64748_nhit100_reselect44_split56_miss030_fit,original MC-ridge fit cell preserved,"[200,300)","[3.25,3.5)",64290,1,1,0.27905947105013,1,0,1,mc_ridge_fit,,1,0,0,0,pass,
18,1,v6_64748_nhit100_reselect44_split56_miss030_fit,original MC-ridge fit cell preserved,"[200,300)","[3.5,3.75)",28446,1,1,0.12347372396161142,1,0,1,mc_ridge_fit,,1,0,0,0,pass,
19,1,v6_64748_nhit100_reselect44_split56_miss030_fit,one-bin high-predE extension passed MC statistics and Stage B PSF quality,"[200,300)","[3.75,4.0)",17909,1,0,0.07773644527977568,1,0,1,highEplus1_fit,,0,1,1,0,pass,
20,1,v6_64748_nhit100_reselect44_split56_miss030_fit,explicit reselect inclusion on top of the prior v6 fit selector,"[200,300)","[4.0,4.25)",13851,1,0,0.06012214548942838,1,0,1,reselect_fit,,0,0,0,0,pass,force_include
21,1,v6_64748_nhit100_reselect44_split56_miss030_fit,explicit reselect inclusion on top of the prior v6 fit selector,"[200,300)","[4.25,4.5)",10301,1,0,0.04471288864967163,1,0,0,reselect_fit,,0,0,0,0,containment_warning,force_include
22,0,v6_64748_nhit100_reselect44_split56_miss030_fit,not on original MC ridge and not the one-bin high-predE extension,"[200,300)","[4.5,4.75)",8295,1,0,0.03600557337627669,1,0,0,excluded,MC_ridge_highEplus1_selector,0,0,0,0,containment_warning,
23,0,v6_64748_nhit100_reselect44_split56_miss030_fit,not on original MC ridge and not the one-bin high-predE extension,"[200,300)","[4.75,5.0)",6791,1,0,0.029477257239095236,1,0,0,excluded,MC_ridge_highEplus1_selector,0,0,0,0,containment_warning,
24,0,v6_64748_nhit100_reselect44_split56_miss030_fit,not on original MC ridge and not the one-bin high-predE extension,"[200,300)","[5,5.5)",13199,1,0,0.05729205099378855,1,0,0,excluded,MC_ridge_highEplus1_selector,0,0,0,0,containment_warning,
25,0,v6_64748_nhit100_reselect44_split56_miss030_fit,not on original MC ridge and not the one-bin high-predE extension,"[200,300)","[5.5,6)",9591,1,0,0.04163103728172028,1,0,0,excluded,MC_ridge_highEplus1_selector,0,0,0,0,valid_events_le_0;effective_events_lt_200;core_fit_effective_events_lt_200;theta_missing_mass_gt_0.3;containment_warning;angle_check_warning,
26,0,v6_64748_nhit100_reselect44_split56_miss030_fit,>=6 diagnostic tail retained in Stage A-E products but excluded from Stage F/G main fit,"[200,300)",>=6,132,0,0,0.0,0,1,0,diagnostic_tail,fit_predE_range,0,0,0,0,valid_events_le_0;effective_events_lt_200;core_fit_effective_events_lt_200;theta_missing_mass_gt_0.3;containment_warning;angle_check_warning,
27,0,v6_64748_nhit100_reselect44_split56_miss030_fit,not on original MC ridge and not the one-bin high-predE extension,"[300,500)","[2,2.5)",193,0,0,0.0013617825945839155,1,0,0,excluded,MC_ridge_highEplus1_selector,0,0,0,0,valid_events_le_0;effective_events_lt_200;core_fit_effective_events_lt_200;theta_missing_mass_gt_0.3;containment_warning;angle_check_warning,
28,1,v6_64748_nhit100_reselect44_split56_miss030_fit,original MC-ridge fit cell preserved,"[300,500)","[2.5,3)",58673,1,1,0.413988964621876,1,0,0,mc_ridge_fit,,1,0,0,0,containment_warning,
29,1,v6_64748_nhit100_reselect44_split56_miss030_fit,original MC-ridge fit cell preserved,"[300,500)","[3,3.25)",141726,1,1,1.0,1,0,1,mc_ridge_fit,,1,0,0,0,pass,
30,1,v6_64748_nhit100_reselect44_split56_miss030_fit,original MC-ridge fit cell preserved,"[300,500)","[3.25,3.5)",131613,1,1,0.928644003217476,1,0,1,mc_ridge_fit,,1,0,0,0,pass,
31,1,v6_64748_nhit100_reselect44_split56_miss030_fit,original MC-ridge fit cell preserved,"[300,500)","[3.5,3.75)",55871,1,1,0.39421842146112923,1,0,1,mc_ridge_fit,,1,0,0,0,pass,
32,1,v6_64748_nhit100_reselect44_split56_miss030_fit,original MC-ridge fit cell preserved,"[300,500)","[3.75,4.0)",22548,1,1,0.15909571991024934,1,0,1,mc_ridge_fit,,1,0,0,0,pass,
33,1,v6_64748_nhit100_reselect44_split56_miss030_fit,original MC-ridge fit cell preserved,"[300,500)","[4.0,4.25)",15896,1,1,0.11216008354148145,1,0,1,mc_ridge_fit,,1,0,0,0,pass,
34,1,v6_64748_nhit100_reselect44_split56_miss030_fit,explicit reselect inclusion on top of the prior v6 fit selector,"[300,500)","[4.25,4.5)",12400,1,0,0.08749276773492513,1,0,1,reselect_fit,,0,0,0,0,pass,force_include
35,0,v6_64748_nhit100_reselect44_split56_miss030_fit,not on original MC ridge and not the one-bin high-predE extension,"[300,500)","[4.5,4.75)",10742,1,0,0.07579413798456176,1,0,1,excluded,MC_ridge_highEplus1_selector,0,0,0,0,pass,
36,0,v6_64748_nhit100_reselect44_split56_miss030_fit,not on original MC ridge and not the one-bin high-predE extension,"[300,500)","[4.75,5.0)",8785,1,0,0.06198580359284817,1,0,0,excluded,MC_ridge_highEplus1_selector,0,0,0,0,containment_warning,
37,0,v6_64748_nhit100_reselect44_split56_miss030_fit,explicit reselect exclusion from the prior v6 fit selector,"[300,500)","[5,5.5)",17728,1,1,0.12508643438748007,1,0,0,reselect_excluded,explicit_reselect_override,1,0,0,0,containment_warning,force_exclude
38,0,v6_64748_nhit100_reselect44_split56_miss030_fit,one-bin high-predE probe rejected from fit: containment_warning,"[300,500)","[5.5,6)",13883,1,0,0.09795662052128755,1,0,0,highEplus1_probe_rejected,containment_warning,0,1,0,1,containment_warning,
39,0,v6_64748_nhit100_reselect44_split56_miss030_fit,>=6 diagnostic tail retained in Stage A-E products but excluded from Stage F/G main fit,"[300,500)",>=6,182,0,0,0.0,0,1,0,diagnostic_tail,fit_predE_range,0,0,0,0,valid_events_le_0;effective_events_lt_200;core_fit_effective_events_lt_200;theta_missing_mass_gt_0.3;containment_warning;angle_check_warning,
40,0,v6_64748_nhit100_reselect44_split56_miss030_fit,not on original MC ridge and not the one-bin high-predE extension,"[500,800)","[2,2.5)",0,0,0,0.0,1,0,0,excluded,MC_ridge_highEplus1_selector,0,0,0,0,valid_events_le_0;effective_events_lt_200;core_fit_effective_events_lt_200;theta_missing_mass_gt_0.3;containment_warning;angle_check_warning,
41,0,v6_64748_nhit100_reselect44_split56_miss030_fit,not on original MC ridge and not the one-bin high-predE extension,"[500,800)","[2.5,3)",764,0,0,0.009083451235896278,1,0,0,excluded,MC_ridge_highEplus1_selector,0,0,0,0,valid_events_le_0;effective_events_lt_200;core_fit_effective_events_lt_200;theta_missing_mass_gt_0.3;containment_warning;angle_check_warning,
42,1,v6_64748_nhit100_reselect44_split56_miss030_fit,original MC-ridge fit cell preserved,"[500,800)","[3,3.25)",16004,1,1,0.1902769025906859,1,0,1,mc_ridge_fit,,1,0,0,0,pass,
43,1,v6_64748_nhit100_reselect44_split56_miss030_fit,original MC-ridge fit cell preserved,"[500,800)","[3.25,3.5)",69150,1,1,0.8221474515212402,1,0,1,mc_ridge_fit,,1,0,0,0,pass,
44,1,v6_64748_nhit100_reselect44_split56_miss030_fit,original MC-ridge fit cell preserved,"[500,800)","[3.5,3.75)",84109,1,1,1.0,1,0,1,mc_ridge_fit,,1,0,0,0,pass,
45,1,v6_64748_nhit100_reselect44_split56_miss030_fit,original MC-ridge fit cell preserved,"[500,800)","[3.75,4.0)",39230,1,1,0.46641857589556407,1,0,1,mc_ridge_fit,,1,0,0,0,pass,
46,1,v6_64748_nhit100_reselect44_split56_miss030_fit,original MC-ridge fit cell preserved,"[500,800)","[4.0,4.25)",13596,1,1,0.16164738612990287,1,0,1,mc_ridge_fit,,1,0,0,0,pass,
47,1,v6_64748_nhit100_reselect44_split56_miss030_fit,explicit reselect inclusion on top of the prior v6 fit selector,"[500,800)","[4.25,4.5)",7227,1,0,0.08592421738458429,1,0,1,reselect_fit,,0,0,0,0,pass,force_include
48,1,v6_64748_nhit100_reselect44_split56_miss030_fit,explicit reselect inclusion on top of the prior v6 fit selector,"[500,800)","[4.5,4.75)",6002,1,0,0.0713597831385464,1,0,1,reselect_fit,,0,0,0,0,pass,force_include
49,0,v6_64748_nhit100_reselect44_split56_miss030_fit,not on original MC ridge and not the one-bin high-predE extension,"[500,800)","[4.75,5.0)",5968,1,0,0.07095554577988086,1,0,1,excluded,MC_ridge_highEplus1_selector,0,0,0,0,pass,
50,0,v6_64748_nhit100_reselect44_split56_miss030_fit,explicit reselect exclusion from the prior v6 fit selector,"[500,800)","[5,5.5)",13490,1,1,0.16038711671759265,1,0,0,reselect_excluded,explicit_reselect_override,1,0,0,0,containment_warning,force_exclude
51,0,v6_64748_nhit100_reselect44_split56_miss030_fit,explicit reselect exclusion from the prior v6 fit selector,"[500,800)","[5.5,6)",12351,1,1,0.146845165202297,1,0,0,reselect_excluded,explicit_reselect_override,1,0,0,0,containment_warning,force_exclude
52,0,v6_64748_nhit100_reselect44_split56_miss030_fit,>=6 diagnostic tail retained in Stage A-E products but excluded from Stage F/G main fit,"[500,800)",>=6,158,0,0,0.0,0,1,0,diagnostic_tail,fit_predE_range,0,0,0,0,valid_events_le_0;effective_events_lt_200;core_fit_effective_events_lt_200;theta_missing_mass_gt_0.3;containment_warning;angle_check_warning,
53,0,v6_64748_nhit100_reselect44_split56_miss030_fit,not on original MC ridge and not the one-bin high-predE extension,"[800,1100)","[2,2.5)",0,0,0,0.0,1,0,0,excluded,MC_ridge_highEplus1_selector,0,0,0,0,valid_events_le_0;effective_events_lt_200;core_fit_effective_events_lt_200;theta_missing_mass_gt_0.3;containment_warning;angle_check_warning,
54,0,v6_64748_nhit100_reselect44_split56_miss030_fit,not on original MC ridge and not the one-bin high-predE extension,"[800,1100)","[2.5,3)",4,0,0,0.00012110936175366356,1,0,0,excluded,MC_ridge_highEplus1_selector,0,0,0,0,valid_events_le_0;effective_events_lt_200;core_fit_effective_events_lt_200;theta_missing_mass_gt_0.3;containment_warning;angle_check_warning,
55,0,v6_64748_nhit100_reselect44_split56_miss030_fit,not on original MC ridge and not the one-bin high-predE extension,"[800,1100)","[3,3.25)",240,0,0,0.0072665617052198135,1,0,0,excluded,MC_ridge_highEplus1_selector,0,0,0,0,valid_events_le_0;effective_events_lt_200;core_fit_effective_events_lt_200;theta_missing_mass_gt_0.3;containment_warning;angle_check_warning,
56,1,v6_64748_nhit100_reselect44_split56_miss030_fit,original MC-ridge fit cell preserved,"[800,1100)","[3.25,3.5)",4962,1,1,0.15023616325541964,1,0,1,mc_ridge_fit,,1,0,0,0,pass,
57,1,v6_64748_nhit100_reselect44_split56_miss030_fit,original MC-ridge fit cell preserved,"[800,1100)","[3.5,3.75)",23789,1,1,0.7202676516894756,1,0,1,mc_ridge_fit,,1,0,0,0,pass,
58,1,v6_64748_nhit100_reselect44_split56_miss030_fit,original MC-ridge fit cell preserved,"[800,1100)","[3.75,4.0)",33028,1,1,1.0,1,0,1,mc_ridge_fit,,1,0,0,0,pass,
59,1,v6_64748_nhit100_reselect44_split56_miss030_fit,original MC-ridge fit cell preserved,"[800,1100)","[4.0,4.25)",16745,1,1,0.506994065641274,1,0,1,mc_ridge_fit,,1,0,0,0,pass,
60,1,v6_64748_nhit100_reselect44_split56_miss030_fit,original MC-ridge fit cell preserved,"[800,1100)","[4.25,4.5)",4786,1,1,0.14490735133825844,1,0,1,mc_ridge_fit,,1,0,0,0,pass,
61,1,v6_64748_nhit100_reselect44_split56_miss030_fit,explicit reselect inclusion on top of the prior v6 fit selector,"[800,1100)","[4.5,4.75)",1869,1,0,0.0565883492793993,1,0,1,reselect_fit,,0,0,0,0,pass,force_include
62,1,v6_64748_nhit100_reselect44_split56_miss030_fit,explicit reselect inclusion on top of the prior v6 fit selector,"[800,1100)","[4.75,5.0)",1760,1,0,0.05328811917161196,1,0,1,reselect_fit,,0,0,0,0,pass,force_include
63,0,v6_64748_nhit100_reselect44_split56_miss030_fit,explicit reselect exclusion from the prior v6 fit selector,"[800,1100)","[5,5.5)",4810,1,1,0.14563400750878042,1,0,1,reselect_excluded,explicit_reselect_override,1,0,0,0,pass,force_exclude
64,0,v6_64748_nhit100_reselect44_split56_miss030_fit,one-bin high-predE probe rejected from fit: containment_warning,"[800,1100)","[5.5,6)",3211,1,0,0.09722054014775341,1,0,0,highEplus1_probe_rejected,containment_warning,0,1,0,1,containment_warning,
65,0,v6_64748_nhit100_reselect44_split56_miss030_fit,>=6 diagnostic tail retained in Stage A-E products but excluded from Stage F/G main fit,"[800,1100)",>=6,15,0,0,0.0,0,1,0,diagnostic_tail,fit_predE_range,0,0,0,0,valid_events_le_0;effective_events_lt_200;core_fit_effective_events_lt_200;theta_missing_mass_gt_0.3;containment_warning;angle_check_warning,
66,0,v6_64748_nhit100_reselect44_split56_miss030_fit,not on original MC ridge and not the one-bin high-predE extension,"[1100,2000)","[2,2.5)",0,0,0,0.0,1,0,0,excluded,MC_ridge_highEplus1_selector,0,0,0,0,valid_events_le_0;effective_events_lt_200;core_fit_effective_events_lt_200;theta_missing_mass_gt_0.3;containment_warning;angle_check_warning,
67,0,v6_64748_nhit100_reselect44_split56_miss030_fit,not on original MC ridge and not the one-bin high-predE extension,"[1100,2000)","[2.5,3)",0,0,0,0.0,1,0,0,excluded,MC_ridge_highEplus1_selector,0,0,0,0,valid_events_le_0;effective_events_lt_200;core_fit_effective_events_lt_200;theta_missing_mass_gt_0.3;containment_warning;angle_check_warning,
68,0,v6_64748_nhit100_reselect44_split56_miss030_fit,not on original MC ridge and not the one-bin high-predE extension,"[1100,2000)","[3,3.25)",3,0,0,9.981368112856002e-05,1,0,0,excluded,MC_ridge_highEplus1_selector,0,0,0,0,valid_events_le_0;effective_events_lt_200;core_fit_effective_events_lt_200;theta_missing_mass_gt_0.3;containment_warning;angle_check_warning,
69,0,v6_64748_nhit100_reselect44_split56_miss030_fit,not on original MC ridge and not the one-bin high-predE extension,"[1100,2000)","[3.25,3.5)",183,0,0,0.006088634548842162,1,0,0,excluded,MC_ridge_highEplus1_selector,0,0,0,0,valid_events_le_0;effective_events_lt_200;core_fit_effective_events_lt_200;theta_missing_mass_gt_0.3;containment_warning;angle_check_warning,
70,1,v6_64748_nhit100_reselect44_split56_miss030_fit,original MC-ridge fit cell preserved,"[1100,2000)","[3.5,3.75)",3067,1,1,0.1020428533404312,1,0,1,mc_ridge_fit,,1,0,0,0,pass,
71,1,v6_64748_nhit100_reselect44_split56_miss030_fit,original MC-ridge fit cell preserved,"[1100,2000)","[3.75,4.0)",15535,1,1,0.5168685121107266,1,0,1,mc_ridge_fit,,1,0,0,0,pass,
72,1,v6_64748_nhit100_reselect44_split56_miss030_fit,original MC-ridge fit cell preserved,"[1100,2000)","[4.0,4.25)",30056,1,1,1.0,1,0,1,mc_ridge_fit,,1,0,0,0,pass,
73,1,v6_64748_nhit100_reselect44_split56_miss030_fit,original MC-ridge fit cell preserved,"[1100,2000)","[4.25,4.5)",20877,1,1,0.6946034069736492,1,0,1,mc_ridge_fit,,1,0,0,0,pass,
74,1,v6_64748_nhit100_reselect44_split56_miss030_fit,original MC-ridge fit cell preserved,"[1100,2000)","[4.5,4.75)",8610,1,1,0.2864652648389673,1,0,1,mc_ridge_fit,,1,0,0,0,pass,
75,1,v6_64748_nhit100_reselect44_split56_miss030_fit,explicit reselect inclusion on top of the prior v6 fit selector,"[1100,2000)","[4.75,5.0)",2279,1,0,0.07582512643066276,1,0,0,reselect_fit,,0,1,0,1,valid_events_le_0;effective_events_lt_200;core_fit_effective_events_lt_200;theta_missing_mass_gt_0.3;containment_warning;angle_check_warning,force_include
76,0,v6_64748_nhit100_reselect44_split56_miss030_fit,not on original MC ridge and not the one-bin high-predE extension,"[1100,2000)","[5,5.5)",1054,1,0,0.03506787330316742,1,0,0,excluded,MC_ridge_highEplus1_selector,0,0,0,0,valid_events_le_0;effective_events_lt_200;core_fit_effective_events_lt_200;theta_missing_mass_gt_0.3;containment_warning;angle_check_warning,
77,0,v6_64748_nhit100_reselect44_split56_miss030_fit,not on original MC ridge and not the one-bin high-predE extension,"[1100,2000)","[5.5,6)",186,0,0,0.006188448229970721,1,0,0,excluded,MC_ridge_highEplus1_selector,0,0,0,0,valid_events_le_0;effective_events_lt_200;core_fit_effective_events_lt_200;theta_missing_mass_gt_0.3;containment_warning;angle_check_warning,
78,0,v6_64748_nhit100_reselect44_split56_miss030_fit,>=6 diagnostic tail retained in Stage A-E products but excluded from Stage F/G main fit,"[1100,2000)",>=6,0,0,0,0.0,0,1,0,diagnostic_tail,fit_predE_range,0,0,0,0,valid_events_le_0;effective_events_lt_200;core_fit_effective_events_lt_200;theta_missing_mass_gt_0.3;containment_warning;angle_check_warning,
79,0,v6_64748_nhit100_reselect44_split56_miss030_fit,not on original MC ridge and not the one-bin high-predE extension,"[2000,3000)","[2,2.5)",0,0,0,0.0,1,0,0,excluded,MC_ridge_highEplus1_selector,0,0,0,0,valid_events_le_0;effective_events_lt_200;core_fit_effective_events_lt_200;theta_missing_mass_gt_0.3;containment_warning;angle_check_warning,
80,0,v6_64748_nhit100_reselect44_split56_miss030_fit,not on original MC ridge and not the one-bin high-predE extension,"[2000,3000)","[2.5,3)",0,0,0,0.0,1,0,0,excluded,MC_ridge_highEplus1_selector,0,0,0,0,valid_events_le_0;effective_events_lt_200;core_fit_effective_events_lt_200;theta_missing_mass_gt_0.3;containment_warning;angle_check_warning,
81,0,v6_64748_nhit100_reselect44_split56_miss030_fit,not on original MC ridge and not the one-bin high-predE extension,"[2000,3000)","[3,3.25)",0,0,0,0.0,1,0,0,excluded,MC_ridge_highEplus1_selector,0,0,0,0,valid_events_le_0;effective_events_lt_200;core_fit_effective_events_lt_200;theta_missing_mass_gt_0.3;containment_warning;angle_check_warning,
82,0,v6_64748_nhit100_reselect44_split56_miss030_fit,not on original MC ridge and not the one-bin high-predE extension,"[2000,3000)","[3.25,3.5)",0,0,0,0.0,1,0,0,excluded,MC_ridge_highEplus1_selector,0,0,0,0,valid_events_le_0;effective_events_lt_200;core_fit_effective_events_lt_200;theta_missing_mass_gt_0.3;containment_warning;angle_check_warning,
83,0,v6_64748_nhit100_reselect44_split56_miss030_fit,not on original MC ridge and not the one-bin high-predE extension,"[2000,3000)","[3.5,3.75)",0,0,0,0.0,1,0,0,excluded,MC_ridge_highEplus1_selector,0,0,0,0,valid_events_le_0;effective_events_lt_200;core_fit_effective_events_lt_200;theta_missing_mass_gt_0.3;containment_warning;angle_check_warning,
84,0,v6_64748_nhit100_reselect44_split56_miss030_fit,not on original MC ridge and not the one-bin high-predE extension,"[2000,3000)","[3.75,4.0)",3,0,0,0.00040871934604904634,1,0,0,excluded,MC_ridge_highEplus1_selector,0,0,0,0,valid_events_le_0;effective_events_lt_200;core_fit_effective_events_lt_200;theta_missing_mass_gt_0.3;containment_warning;angle_check_warning,
85,0,v6_64748_nhit100_reselect44_split56_miss030_fit,not on original MC ridge and not the one-bin high-predE extension,"[2000,3000)","[4.0,4.25)",417,1,0,0.05681198910081744,1,0,0,excluded,MC_ridge_highEplus1_selector,0,0,0,0,valid_events_le_0;effective_events_lt_200;core_fit_effective_events_lt_200;theta_missing_mass_gt_0.3;containment_warning;angle_check_warning,
86,1,v6_64748_nhit100_reselect44_split56_miss030_fit,original MC-ridge fit cell preserved,"[2000,3000)","[4.25,4.5)",2144,1,1,0.29209809264305175,1,0,1,mc_ridge_fit,,1,0,0,0,pass,
87,1,v6_64748_nhit100_reselect44_split56_miss030_fit,original MC-ridge fit cell preserved,"[2000,3000)","[4.5,4.75)",5114,1,1,0.6967302452316076,1,0,1,mc_ridge_fit,,1,0,0,0,pass,
88,1,v6_64748_nhit100_reselect44_split56_miss030_fit,original MC-ridge fit cell preserved,"[2000,3000)","[4.75,5.0)",6475,1,1,0.8821525885558583,1,0,1,mc_ridge_fit,,1,0,0,0,pass,
89,1,v6_64748_nhit100_reselect44_split56_miss030_fit,original MC-ridge fit cell preserved,"[2000,3000)","[5,5.5)",7340,1,1,1.0,1,0,1,mc_ridge_fit,,1,0,0,0,pass,
90,0,v6_64748_nhit100_reselect44_split56_miss030_fit,explicit reselect exclusion from the prior v6 fit selector,"[2000,3000)","[5.5,6)",1049,1,1,0.14291553133514986,1,0,0,reselect_excluded,explicit_reselect_override,1,0,0,0,valid_events_le_0;effective_events_lt_200;core_fit_effective_events_lt_200;theta_missing_mass_gt_0.3;containment_warning;angle_check_warning,force_exclude
91,0,v6_64748_nhit100_reselect44_split56_miss030_fit,>=6 diagnostic tail retained in Stage A-E products but excluded from Stage F/G main fit,"[2000,3000)",>=6,0,0,0,0.0,0,1,0,diagnostic_tail,fit_predE_range,0,0,0,0,valid_events_le_0;effective_events_lt_200;core_fit_effective_events_lt_200;theta_missing_mass_gt_0.3;containment_warning;angle_check_warning,
