cell_id,nhit_bin,predE_bin,mc_count,candidate_version,strategy,central99_flag,fit_predE_range_flag,tail_bin_flag,selection_version,selection_reason,raw_ledger_version,cell_role,role_reason,source_pool,source_nhit_bin,source_predE_bins
24,"[500,800)",>=6,426,v5_predbin_gap1,gap1,0,0,1,v5_predbin_gap1,"diagnostic tail bin outside [2,6); not used in main fit",v5_predbin_gap1,diagnostic_tail,"diagnostic tail bin outside [2,6); not used in main fit",filtered_existing_cache,"[500,800)",>=5
25,"[800,1100)",<2,0,v5_predbin_gap1,gap1,0,0,1,v5_predbin_gap1,"diagnostic tail bin outside [2,6); not used in main fit",v5_predbin_gap1,diagnostic_tail,"diagnostic tail bin outside [2,6); not used in main fit",existing_cache_symlink,"[800,1100)",<2
26,"[800,1100)","[2,3)",5,v5_predbin_gap1,gap1,0,1,0,v5_predbin_gap1,outside MC central-99 reconstructed-energy population,v5_predbin_gap1,diagnostic_response_tail,outside MC central-99 reconstructed-energy population,existing_cache_symlink,"[800,1100)","[2,3)"
27,"[800,1100)","[3,4)",72278,v5_predbin_gap1,gap1,1,1,0,v5_predbin_gap1,"central99 MC-occupancy-ridge prefit cell inside [2,6)",v5_predbin_gap1,baseline_fit,"central99 MC-occupancy-ridge prefit cell inside [2,6)",merged_filtered_existing_cache,"[800,1100)","[3,3.25);[3.25,3.5);[3.5,3.75);[3.75,4.0)"
28,"[800,1100)","[4,5)",14630,v5_predbin_gap1,gap1,1,1,0,v5_predbin_gap1,"central99 MC-occupancy-ridge prefit cell inside [2,6)",v5_predbin_gap1,baseline_fit,"central99 MC-occupancy-ridge prefit cell inside [2,6)",merged_filtered_existing_cache,"[800,1100)","[4.0,4.25);[4.25,4.5);[4.5,4.75);[4.75,5.0)"
29,"[800,1100)","[5,6)",8235,v5_predbin_gap1,gap1,1,1,0,v5_predbin_gap1,"[5,6) retained as high-energy diagnostic/probe outside highest Nhit ridge",v5_predbin_gap1,high_energy_probe,"[5,6) retained as high-energy diagnostic/probe outside highest Nhit ridge",filtered_existing_cache,"[800,1100)",>=5
30,"[800,1100)",>=6,71,v5_predbin_gap1,gap1,0,0,1,v5_predbin_gap1,"diagnostic tail bin outside [2,6); not used in main fit",v5_predbin_gap1,diagnostic_tail,"diagnostic tail bin outside [2,6); not used in main fit",filtered_existing_cache,"[800,1100)",>=5
31,"[1100,2000)",<2,0,v5_predbin_gap1,gap1,0,0,1,v5_predbin_gap1,"diagnostic tail bin outside [2,6); not used in main fit",v5_predbin_gap1,diagnostic_tail,"diagnostic tail bin outside [2,6); not used in main fit",existing_cache_symlink,"[1100,2000)",<2
32,"[1100,2000)","[2,3)",0,v5_predbin_gap1,gap1,0,1,0,v5_predbin_gap1,outside MC central-99 reconstructed-energy population,v5_predbin_gap1,diagnostic_response_tail,outside MC central-99 reconstructed-energy population,existing_cache_symlink,"[1100,2000)","[2,3)"
33,"[1100,2000)","[3,4)",36267,v5_predbin_gap1,gap1,1,1,0,v5_predbin_gap1,"central99 MC-occupancy-ridge prefit cell inside [2,6)",v5_predbin_gap1,baseline_fit,"central99 MC-occupancy-ridge prefit cell inside [2,6)",merged_filtered_existing_cache,"[1100,2000)","[3,3.25);[3.25,3.5);[3.5,3.75);[3.75,4.0)"
34,"[1100,2000)","[4,5)",44669,v5_predbin_gap1,gap1,1,1,0,v5_predbin_gap1,"central99 MC-occupancy-ridge prefit cell inside [2,6)",v5_predbin_gap1,baseline_fit,"central99 MC-occupancy-ridge prefit cell inside [2,6)",merged_filtered_existing_cache,"[1100,2000)","[4.0,4.25);[4.25,4.5);[4.5,4.75);[4.75,5.0)"
35,"[1100,2000)","[5,6)",910,v5_predbin_gap1,gap1,1,1,0,v5_predbin_gap1,"[5,6) retained as high-energy diagnostic/probe outside highest Nhit ridge",v5_predbin_gap1,high_energy_probe,"[5,6) retained as high-energy diagnostic/probe outside highest Nhit ridge",filtered_existing_cache,"[1100,2000)",>=5
36,"[1100,2000)",>=6,4,v5_predbin_gap1,gap1,0,0,1,v5_predbin_gap1,"diagnostic tail bin outside [2,6); not used in main fit",v5_predbin_gap1,diagnostic_tail,"diagnostic tail bin outside [2,6); not used in main fit",filtered_existing_cache,"[1100,2000)",>=5
37,"[2000,3000)",<2,0,v5_predbin_gap1,gap1,0,0,1,v5_predbin_gap1,"diagnostic tail bin outside [2,6); not used in main fit",v5_predbin_gap1,diagnostic_tail,"diagnostic tail bin outside [2,6); not used in main fit",filtered_existing_cache,>=2000,<2
38,"[2000,3000)","[2,3)",0,v5_predbin_gap1,gap1,0,1,0,v5_predbin_gap1,outside MC central-99 reconstructed-energy population,v5_predbin_gap1,diagnostic_response_tail,outside MC central-99 reconstructed-energy population,filtered_existing_cache,>=2000,"[2,3)"
39,"[2000,3000)","[3,4)",160,v5_predbin_gap1,gap1,1,1,0,v5_predbin_gap1,below prefit MC-count threshold,v5_predbin_gap1,diagnostic_low_stat,below prefit MC-count threshold,merged_filtered_existing_cache,>=2000,"[3,3.25);[3.25,3.5);[3.5,3.75);[3.75,4.0)"
40,"[2000,3000)","[4,5)",15149,v5_predbin_gap1,gap1,1,1,0,v5_predbin_gap1,"central99 MC-occupancy-ridge prefit cell inside [2,6)",v5_predbin_gap1,baseline_fit,"central99 MC-occupancy-ridge prefit cell inside [2,6)",merged_filtered_existing_cache,>=2000,"[4.0,4.25);[4.25,4.5);[4.5,4.75);[4.75,5.0)"
41,"[2000,3000)","[5,6)",7233,v5_predbin_gap1,gap1,1,1,0,v5_predbin_gap1,"central99 MC-occupancy-ridge prefit cell inside [2,6)",v5_predbin_gap1,baseline_fit,"central99 MC-occupancy-ridge prefit cell inside [2,6)",filtered_existing_cache,>=2000,>=5
42,"[2000,3000)",>=6,0,v5_predbin_gap1,gap1,0,0,1,v5_predbin_gap1,"diagnostic tail bin outside [2,6); not used in main fit",v5_predbin_gap1,diagnostic_tail,"diagnostic tail bin outside [2,6); not used in main fit",filtered_existing_cache,>=2000,>=5
